date,open,close,low,high,volume
2019-02-19,75.7,75.5,75.5,75.7,2862069.0
2019-02-20,75.9,76.35,75.9,76.5,34307853.0
2019-02-21,76.4,77.1,76.4,77.1,18664815.0
2019-02-22,76.95,76.95,76.5,76.95,9881017.0
2019-02-25,77.35,77.5,77.3,77.75,19365354.0
2019-02-26,77.65,77.7,77.3,77.8,15903051.0
2019-02-27,77.7,77.65,77.35,77.7,12907489.0
2019-03-04,77.55,76.95,76.7,77.55,8469570.0
2019-03-05,76.6,76.75,76.45,76.9,9400493.0
2019-03-06,76.85,76.95,76.75,77.05,19579792.0
2019-03-07,76.9,76.65,76.6,77.05,18239770.0
2019-03-08,76.2,76.0,75.8,76.35,9975200.0
2019-03-11,75.85,76.15,75.7,76.15,4642390.0
2019-03-12,76.85,77.25,76.8,77.45,13857468.0
2019-03-13,77.05,77.1,76.8,77.2,10148529.0
2019-03-14,77.3,77.05,76.95,77.4,5208756.0
2019-03-15,77.35,77.6,77.15,77.7,11483751.0
2019-03-18,77.75,78.1,77.65,78.1,12218708.0
2019-03-19,78.1,78.4,77.85,78.4,8604296.0
2019-03-20,78.35,78.5,78.2,78.55,11856027.0
2019-03-21,78.8,79.15,78.65,79.15,11341213.0
2019-03-22,79.5,79.35,79.05,79.7,6930357.0
2019-03-25,78.1,78.15,78.0,78.35,7020756.0
2019-03-26,78.5,78.65,78.4,78.7,2700090.0
2019-03-27,78.45,78.5,78.2,78.7,2555684.0
2019-03-28,78.3,78.5,78.15,78.6,3415432.0
2019-03-29,78.7,79.15,78.25,79.15,5680484.0
2019-04-01,80.0,79.85,79.6,80.4,11053405.0
2019-04-02,80.1,80.15,80.1,80.45,5605092.0
2019-04-03,80.4,80.15,79.95,80.45,6867174.0
2019-04-08,80.8,80.9,80.7,81.0,7990782.0
2019-04-09,80.95,81.4,80.85,81.4,15272047.0
2019-04-10,81.1,81.5,81.1,81.55,10863161.0
2019-04-11,81.35,81.15,80.9,81.55,8272430.0
2019-04-12,81.15,81.1,81.0,81.3,7498409.0
2019-04-15,81.65,81.85,81.55,82.0,7681554.0
2019-04-16,81.85,82.1,81.8,82.15,7767931.0
2019-04-17,82.3,82.75,82.3,82.9,23104837.0
2019-04-18,82.9,82.7,82.45,83.35,20690365.0
2019-04-19,83.25,82.8,82.7,83.5,12515659.0
2019-04-22,83.0,82.7,82.65,83.1,2874312.0
2019-04-23,82.7,83.05,82.55,83.2,6012031.0
2019-04-24,83.4,83.2,82.9,83.55,3108556.0
2019-04-25,83.1,83.4,83.0,83.45,3529039.0
2019-04-26,82.8,82.45,82.2,82.8,3815090.0
2019-04-29,82.6,82.8,82.5,82.95,3161957.0
2019-04-30,82.8,82.8,82.4,82.9,3247891.0
2019-05-02,82.95,83.0,82.9,83.45,6155563.0
2019-05-03,83.1,83.75,83.1,83.8,30324466.0
2019-05-06,82.6,82.3,82.05,82.6,7463612.0
2019-05-07,82.65,83.15,82.65,83.3,14011442.0
2019-05-08,82.4,82.55,82.25,82.85,13573142.0
2019-05-09,82.15,81.55,81.25,82.2,6923673.0
2019-05-10,81.55,81.5,80.9,82.15,11794135.0
2019-05-13,81.1,80.15,80.1,81.1,18678106.0
2019-05-14,79.6,79.65,78.9,80.05,20279630.0
2019-05-15,79.65,79.75,79.45,80.0,17261839.0
2019-05-16,79.5,79.05,79.0,79.6,17099974.0
2019-05-17,79.5,78.25,78.25,79.55,23573826.0
2019-05-20,78.5,78.2,78.15,78.8,14304763.0
2019-05-21,78.0,78.4,77.7,78.45,19814843.0
2019-05-22,78.2,78.4,78.1,78.65,10557991.0
2019-05-23,77.85,76.95,76.85,77.85,25682577.0
2019-05-24,77.05,77.35,77.0,77.5,6029424.0
2019-05-27,77.5,77.15,76.85,77.5,11541072.0
